class	pattern	X	Y	query
yes	deeply X and deeply Y	large	small	deeply_. (small)_j and_. deeply_. (large)_j
no	deeply X and deeply Y	large	small	deeply_. (?!large)(\b\w+)_j and_. deeply_. (\bsmall)_j
no	deeply X and deeply Y	large	small	deeply_. (\blarge)_j and_. deeply_. (?!small)(\b\w+)_j
no	deeply X and deeply Y	large	small	deeply_. (?!small)(\b\w+)_j and_. deeply_. (\blarge)_j
no	deeply X and deeply Y	large	small	deeply_. (\bsmall)_j and_. deeply_. (?!large)(\b\w+)_j
yes	deeply X and deeply Y	new	old	deeply_. (new)_j and_. deeply_. (old)_j
yes	deeply X and deeply Y	new	old	deeply_. (old)_j and_. deeply_. (new)_j
no	deeply X and deeply Y	new	old	deeply_. (?!new)(\b\w+)_j and_. deeply_. (\bold)_j
no	deeply X and deeply Y	new	old	deeply_. (\bnew)_j and_. deeply_. (?!old)(\b\w+)_j
no	deeply X and deeply Y	new	old	deeply_. (?!old)(\b\w+)_j and_. deeply_. (\bnew)_j
no	deeply X and deeply Y	new	old	deeply_. (\bold)_j and_. deeply_. (?!new)(\b\w+)_j
yes	deeply X and deeply Y	fast	slow	deeply_. (fast)_j and_. deeply_. (slow)_j
yes	deeply X and deeply Y	fast	slow	deeply_. (slow)_j and_. deeply_. (fast)_j
no	deeply X and deeply Y	fast	slow	deeply_. (?!fast)(\b\w+)_j and_. deeply_. (\bslow)_j
no	deeply X and deeply Y	fast	slow	deeply_. (\bfast)_j and_. deeply_. (?!slow)(\b\w+)_j
no	deeply X and deeply Y	fast	slow	deeply_. (?!slow)(\b\w+)_j and_. deeply_. (\bfast)_j
no	deeply X and deeply Y	fast	slow	deeply_. (\bslow)_j and_. deeply_. (?!fast)(\b\w+)_j
yes	deeply X and deeply Y	major	minor	deeply_. (major)_j and_. deeply_. (minor)_j
yes	deeply X and deeply Y	major	minor	deeply_. (minor)_j and_. deeply_. (major)_j
no	deeply X and deeply Y	major	minor	deeply_. (?!major)(\b\w+)_j and_. deeply_. (\bminor)_j
no	deeply X and deeply Y	major	minor	deeply_. (\bmajor)_j and_. deeply_. (?!minor)(\b\w+)_j
no	deeply X and deeply Y	major	minor	deeply_. (?!minor)(\b\w+)_j and_. deeply_. (\bmajor)_j
no	deeply X and deeply Y	major	minor	deeply_. (\bminor)_j and_. deeply_. (?!major)(\b\w+)_j
yes	deeply X and deeply Y	active	passive	deeply_. (active)_j and_. deeply_. (passive)_j
yes	deeply X and deeply Y	active	passive	deeply_. (passive)_j and_. deeply_. (active)_j
no	deeply X and deeply Y	active	passive	deeply_. (?!active)(\b\w+)_j and_. deeply_. (\bpassive)_j
no	deeply X and deeply Y	active	passive	deeply_. (\bactive)_j and_. deeply_. (?!passive)(\b\w+)_j
no	deeply X and deeply Y	active	passive	deeply_. (?!passive)(\b\w+)_j and_. deeply_. (\bactive)_j
no	deeply X and deeply Y	active	passive	deeply_. (\bpassive)_j and_. deeply_. (?!active)(\b\w+)_j
yes	either too X or too Y	alive	dead	either_. too_. (alive)_j or_. too_. (dead)_j
yes	either too X or too Y	alive	dead	either_. too_. (dead)_j or_. too_. (alive)_j
no	either too X or too Y	alive	dead	either_. too_. (?!alive)(\b\w+)_j or_. too_. (\bdead)_j
no	either too X or too Y	alive	dead	either_. too_. (\balive)_j or_. too_. (?!dead)(\b\w+)_j
no	either too X or too Y	alive	dead	either_. too_. (?!dead)(\b\w+)_j or_. too_. (\balive)_j
no	either too X or too Y	alive	dead	either_. too_. (\bdead)_j or_. too_. (?!alive)(\b\w+)_j
yes	either too X or too Y	private	public	either_. too_. (private)_j or_. too_. (public)_j
yes	either too X or too Y	private	public	either_. too_. (public)_j or_. too_. (private)_j
no	either too X or too Y	private	public	either_. too_. (?!private)(\b\w+)_j or_. too_. (\bpublic)_j
no	either too X or too Y	private	public	either_. too_. (\bprivate)_j or_. too_. (?!public)(\b\w+)_j
no	either too X or too Y	private	public	either_. too_. (?!public)(\b\w+)_j or_. too_. (\bprivate)_j
no	either too X or too Y	private	public	either_. too_. (\bpublic)_j or_. too_. (?!private)(\b\w+)_j
yes	either too X or too Y	bad	good	either_. too_. (bad)_j or_. too_. (good)_j
yes	either too X or too Y	bad	good	either_. too_. (good)_j or_. too_. (bad)_j
no	either too X or too Y	bad	good	either_. too_. (?!bad)(\b\w+)_j or_. too_. (\bgood)_j
no	either too X or too Y	bad	good	either_. too_. (\bbad)_j or_. too_. (?!good)(\b\w+)_j
no	either too X or too Y	bad	good	either_. too_. (?!good)(\b\w+)_j or_. too_. (\bbad)_j
no	either too X or too Y	bad	good	either_. too_. (\bgood)_j or_. too_. (?!bad)(\b\w+)_j
yes	either too X or too Y	heavy	light	either_. too_. (heavy)_j or_. too_. (light)_j
yes	either too X or too Y	heavy	light	either_. too_. (light)_j or_. too_. (heavy)_j
no	either too X or too Y	heavy	light	either_. too_. (?!heavy)(\b\w+)_j or_. too_. (\blight)_j
no	either too X or too Y	heavy	light	either_. too_. (\bheavy)_j or_. too_. (?!light)(\b\w+)_j
no	either too X or too Y	heavy	light	either_. too_. (?!light)(\b\w+)_j or_. too_. (\bheavy)_j
no	either too X or too Y	heavy	light	either_. too_. (\blight)_j or_. too_. (?!heavy)(\b\w+)_j
yes	either too X or too Y	drunk	sober	either_. too_. (drunk)_j or_. too_. (sober)_j
yes	either too X or too Y	drunk	sober	either_. too_. (sober)_j or_. too_. (drunk)_j
no	either too X or too Y	drunk	sober	either_. too_. (?!drunk)(\b\w+)_j or_. too_. (\bsober)_j
no	either too X or too Y	drunk	sober	either_. too_. (\bdrunk)_j or_. too_. (?!sober)(\b\w+)_j
no	either too X or too Y	drunk	sober	either_. too_. (?!sober)(\b\w+)_j or_. too_. (\bdrunk)_j
no	either too X or too Y	drunk	sober	either_. too_. (\bsober)_j or_. too_. (?!drunk)(\b\w+)_j
yes	either too X or too Y	hard	soft	either_. too_. (hard)_j or_. too_. (soft)_j
yes	either too X or too Y	hard	soft	either_. too_. (soft)_j or_. too_. (hard)_j
no	either too X or too Y	hard	soft	either_. too_. (?!hard)(\b\w+)_j or_. too_. (\bsoft)_j
no	either too X or too Y	hard	soft	either_. too_. (\bhard)_j or_. too_. (?!soft)(\b\w+)_j
no	either too X or too Y	hard	soft	either_. too_. (?!soft)(\b\w+)_j or_. too_. (\bhard)_j
no	either too X or too Y	hard	soft	either_. too_. (\bsoft)_j or_. too_. (?!hard)(\b\w+)_j
yes	either too X or too Y	false	true	either_. too_. (false)_j or_. too_. (true)_j
yes	either too X or too Y	false	true	either_. too_. (true)_j or_. too_. (false)_j
no	either too X or too Y	false	true	either_. too_. (?!false)(\b\w+)_j or_. too_. (\btrue)_j
no	either too X or too Y	false	true	either_. too_. (\bfalse)_j or_. too_. (?!true)(\b\w+)_j
no	either too X or too Y	false	true	either_. too_. (?!true)(\b\w+)_j or_. too_. (\bfalse)_j
no	either too X or too Y	false	true	either_. too_. (\btrue)_j or_. too_. (?!false)(\b\w+)_j
yes	either too X or too Y	happy	sad	either_. too_. (happy)_j or_. too_. (sad)_j
yes	either too X or too Y	happy	sad	either_. too_. (sad)_j or_. too_. (happy)_j
no	either too X or too Y	happy	sad	either_. too_. (?!happy)(\b\w+)_j or_. too_. (\bsad)_j
no	either too X or too Y	happy	sad	either_. too_. (\bhappy)_j or_. too_. (?!sad)(\b\w+)_j
no	either too X or too Y	happy	sad	either_. too_. (?!sad)(\b\w+)_j or_. too_. (\bhappy)_j
no	either too X or too Y	happy	sad	either_. too_. (\bsad)_j or_. too_. (?!happy)(\b\w+)_j
yes	either too X or too Y	dry	wet	either_. too_. (dry)_j or_. too_. (wet)_j
yes	either too X or too Y	dry	wet	either_. too_. (wet)_j or_. too_. (dry)_j
no	either too X or too Y	dry	wet	either_. too_. (?!dry)(\b\w+)_j or_. too_. (\bwet)_j
no	either too X or too Y	dry	wet	either_. too_. (\bdry)_j or_. too_. (?!wet)(\b\w+)_j
no	either too X or too Y	dry	wet	either_. too_. (?!wet)(\b\w+)_j or_. too_. (\bdry)_j
no	either too X or too Y	dry	wet	either_. too_. (\bwet)_j or_. too_. (?!dry)(\b\w+)_j
yes	either too X or too Y	right	wrong	either_. too_. (right)_j or_. too_. (wrong)_j
yes	either too X or too Y	right	wrong	either_. too_. (wrong)_j or_. too_. (right)_j
no	either too X or too Y	right	wrong	either_. too_. (?!right)(\b\w+)_j or_. too_. (\bwrong)_j
no	either too X or too Y	right	wrong	either_. too_. (\bright)_j or_. too_. (?!wrong)(\b\w+)_j
no	either too X or too Y	right	wrong	either_. too_. (?!wrong)(\b\w+)_j or_. too_. (\bright)_j
no	either too X or too Y	right	wrong	either_. too_. (\bwrong)_j or_. too_. (?!right)(\b\w+)_j
yes	either too X or too Y	female	male	either_. too_. (female)_j or_. too_. (male)_j
yes	either too X or too Y	female	male	either_. too_. (male)_j or_. too_. (female)_j
no	either too X or too Y	female	male	either_. too_. (?!female)(\b\w+)_j or_. too_. (\bmale)_j
no	either too X or too Y	female	male	either_. too_. (\bfemale)_j or_. too_. (?!male)(\b\w+)_j
no	either too X or too Y	female	male	either_. too_. (?!male)(\b\w+)_j or_. too_. (\bfemale)_j
no	either too X or too Y	female	male	either_. too_. (\bmale)_j or_. too_. (?!female)(\b\w+)_j
yes	either too X or too Y	high	low	either_. too_. (high)_j or_. too_. (low)_j
yes	either too X or too Y	high	low	either_. too_. (low)_j or_. too_. (high)_j
no	either too X or too Y	high	low	either_. too_. (?!high)(\b\w+)_j or_. too_. (\blow)_j
no	either too X or too Y	high	low	either_. too_. (\bhigh)_j or_. too_. (?!low)(\b\w+)_j
no	either too X or too Y	high	low	either_. too_. (?!low)(\b\w+)_j or_. too_. (\bhigh)_j
no	either too X or too Y	high	low	either_. too_. (\blow)_j or_. too_. (?!high)(\b\w+)_j
yes	either too X or too Y	rural	urban	either_. too_. (rural)_j or_. too_. (urban)_j
yes	either too X or too Y	rural	urban	either_. too_. (urban)_j or_. too_. (rural)_j
no	either too X or too Y	rural	urban	either_. too_. (?!rural)(\b\w+)_j or_. too_. (\burban)_j
no	either too X or too Y	rural	urban	either_. too_. (\brural)_j or_. too_. (?!urban)(\b\w+)_j
no	either too X or too Y	rural	urban	either_. too_. (?!urban)(\b\w+)_j or_. too_. (\brural)_j
no	either too X or too Y	rural	urban	either_. too_. (\burban)_j or_. too_. (?!rural)(\b\w+)_j
yes	either too X or too Y	cold	hot	either_. too_. (cold)_j or_. too_. (hot)_j
yes	either too X or too Y	cold	hot	either_. too_. (hot)_j or_. too_. (cold)_j
no	either too X or too Y	cold	hot	either_. too_. (?!cold)(\b\w+)_j or_. too_. (\bhot)_j
no	either too X or too Y	cold	hot	either_. too_. (\bcold)_j or_. too_. (?!hot)(\b\w+)_j
no	either too X or too Y	cold	hot	either_. too_. (?!hot)(\b\w+)_j or_. too_. (\bcold)_j
no	either too X or too Y	cold	hot	either_. too_. (\bhot)_j or_. too_. (?!cold)(\b\w+)_j
yes	either too X or too Y	poor	rich	either_. too_. (poor)_j or_. too_. (rich)_j
yes	either too X or too Y	poor	rich	either_. too_. (rich)_j or_. too_. (poor)_j
no	either too X or too Y	poor	rich	either_. too_. (?!poor)(\b\w+)_j or_. too_. (\brich)_j
no	either too X or too Y	poor	rich	either_. too_. (\bpoor)_j or_. too_. (?!rich)(\b\w+)_j
no	either too X or too Y	poor	rich	either_. too_. (?!rich)(\b\w+)_j or_. too_. (\bpoor)_j
no	either too X or too Y	poor	rich	either_. too_. (\brich)_j or_. too_. (?!poor)(\b\w+)_j
yes	either too X or too Y	difficult	easy	either_. too_. (difficult)_j or_. too_. (easy)_j
yes	either too X or too Y	difficult	easy	either_. too_. (easy)_j or_. too_. (difficult)_j
no	either too X or too Y	difficult	easy	either_. too_. (?!difficult)(\b\w+)_j or_. too_. (\beasy)_j
no	either too X or too Y	difficult	easy	either_. too_. (\bdifficult)_j or_. too_. (?!easy)(\b\w+)_j
no	either too X or too Y	difficult	easy	either_. too_. (?!easy)(\b\w+)_j or_. too_. (\bdifficult)_j
no	either too X or too Y	difficult	easy	either_. too_. (\beasy)_j or_. too_. (?!difficult)(\b\w+)_j
yes	either too X or too Y	optimistic	pessimistic	either_. too_. (optimistic)_j or_. too_. (pessimistic)_j
yes	either too X or too Y	optimistic	pessimistic	either_. too_. (pessimistic)_j or_. too_. (optimistic)_j
no	either too X or too Y	optimistic	pessimistic	either_. too_. (?!optimistic)(\b\w+)_j or_. too_. (\bpessimistic)_j
no	either too X or too Y	optimistic	pessimistic	either_. too_. (\boptimistic)_j or_. too_. (?!pessimistic)(\b\w+)_j
no	either too X or too Y	optimistic	pessimistic	either_. too_. (?!pessimistic)(\b\w+)_j or_. too_. (\boptimistic)_j
no	either too X or too Y	optimistic	pessimistic	either_. too_. (\bpessimistic)_j or_. too_. (?!optimistic)(\b\w+)_j
yes	either too X or too Y	permanent	temporary	either_. too_. (permanent)_j or_. too_. (temporary)_j
yes	either too X or too Y	permanent	temporary	either_. too_. (temporary)_j or_. too_. (permanent)_j
no	either too X or too Y	permanent	temporary	either_. too_. (?!permanent)(\b\w+)_j or_. too_. (\btemporary)_j
no	either too X or too Y	permanent	temporary	either_. too_. (\bpermanent)_j or_. too_. (?!temporary)(\b\w+)_j
no	either too X or too Y	permanent	temporary	either_. too_. (?!temporary)(\b\w+)_j or_. too_. (\bpermanent)_j
no	either too X or too Y	permanent	temporary	either_. too_. (\btemporary)_j or_. too_. (?!permanent)(\b\w+)_j
yes	either too X or too Y	feminine	masculine	either_. too_. (feminine)_j or_. too_. (masculine)_j
yes	either too X or too Y	feminine	masculine	either_. too_. (masculine)_j or_. too_. (feminine)_j
no	either too X or too Y	feminine	masculine	either_. too_. (?!feminine)(\b\w+)_j or_. too_. (\bmasculine)_j
no	either too X or too Y	feminine	masculine	either_. too_. (\bfeminine)_j or_. too_. (?!masculine)(\b\w+)_j
no	either too X or too Y	feminine	masculine	either_. too_. (?!masculine)(\b\w+)_j or_. too_. (\bfeminine)_j
no	either too X or too Y	feminine	masculine	either_. too_. (\bmasculine)_j or_. too_. (?!feminine)(\b\w+)_j
yes	either too X or too Y	long	short	either_. too_. (long)_j or_. too_. (short)_j
yes	either too X or too Y	long	short	either_. too_. (short)_j or_. too_. (long)_j
no	either too X or too Y	long	short	either_. too_. (?!long)(\b\w+)_j or_. too_. (\bshort)_j
no	either too X or too Y	long	short	either_. too_. (\blong)_j or_. too_. (?!short)(\b\w+)_j
no	either too X or too Y	long	short	either_. too_. (?!short)(\b\w+)_j or_. too_. (\blong)_j
no	either too X or too Y	long	short	either_. too_. (\bshort)_j or_. too_. (?!long)(\b\w+)_j
yes	either too X or too Y	large	small	either_. too_. (large)_j or_. too_. (small)_j
yes	either too X or too Y	large	small	either_. too_. (small)_j or_. too_. (large)_j
no	either too X or too Y	large	small	either_. too_. (?!large)(\b\w+)_j or_. too_. (\bsmall)_j
no	either too X or too Y	large	small	either_. too_. (\blarge)_j or_. too_. (?!small)(\b\w+)_j
no	either too X or too Y	large	small	either_. too_. (?!small)(\b\w+)_j or_. too_. (\blarge)_j
no	either too X or too Y	large	small	either_. too_. (\bsmall)_j or_. too_. (?!large)(\b\w+)_j
yes	either too X or too Y	new	old	either_. too_. (new)_j or_. too_. (old)_j
yes	either too X or too Y	new	old	either_. too_. (old)_j or_. too_. (new)_j
no	either too X or too Y	new	old	either_. too_. (?!new)(\b\w+)_j or_. too_. (\bold)_j
no	either too X or too Y	new	old	either_. too_. (\bnew)_j or_. too_. (?!old)(\b\w+)_j
no	either too X or too Y	new	old	either_. too_. (?!old)(\b\w+)_j or_. too_. (\bnew)_j
no	either too X or too Y	new	old	either_. too_. (\bold)_j or_. too_. (?!new)(\b\w+)_j
yes	either too X or too Y	fast	slow	either_. too_. (fast)_j or_. too_. (slow)_j
yes	either too X or too Y	fast	slow	either_. too_. (slow)_j or_. too_. (fast)_j
no	either too X or too Y	fast	slow	either_. too_. (?!fast)(\b\w+)_j or_. too_. (\bslow)_j
no	either too X or too Y	fast	slow	either_. too_. (\bfast)_j or_. too_. (?!slow)(\b\w+)_j
no	either too X or too Y	fast	slow	either_. too_. (?!slow)(\b\w+)_j or_. too_. (\bfast)_j
no	either too X or too Y	fast	slow	either_. too_. (\bslow)_j or_. too_. (?!fast)(\b\w+)_j
yes	either too X or too Y	major	minor	either_. too_. (major)_j or_. too_. (minor)_j
yes	either too X or too Y	major	minor	either_. too_. (minor)_j or_. too_. (major)_j
no	either too X or too Y	major	minor	either_. too_. (?!major)(\b\w+)_j or_. too_. (\bminor)_j
no	either too X or too Y	major	minor	either_. too_. (\bmajor)_j or_. too_. (?!minor)(\b\w+)_j
no	either too X or too Y	major	minor	either_. too_. (?!minor)(\b\w+)_j or_. too_. (\bmajor)_j
no	either too X or too Y	major	minor	either_. too_. (\bminor)_j or_. too_. (?!major)(\b\w+)_j
yes	either too X or too Y	active	passive	either_. too_. (active)_j or_. too_. (passive)_j
yes	either too X or too Y	active	passive	either_. too_. (passive)_j or_. too_. (active)_j
no	either too X or too Y	active	passive	either_. too_. (?!active)(\b\w+)_j or_. too_. (\bpassive)_j
no	either too X or too Y	active	passive	either_. too_. (\bactive)_j or_. too_. (?!passive)(\b\w+)_j
no	either too X or too Y	active	passive	either_. too_. (?!passive)(\b\w+)_j or_. too_. (\bactive)_j
no	either too X or too Y	active	passive	either_. too_. (\bpassive)_j or_. too_. (?!active)(\b\w+)_j
yes	either X or Y	alive	dead	either_. (alive)_j or_. (dead)_j
yes	either X or Y	alive	dead	either_. (dead)_j or_. (alive)_j
no	either X or Y	alive	dead	either_. (?!alive)(\b\w+)_j or_. (\bdead)_j
no	either X or Y	alive	dead	either_. (\balive)_j or_. (?!dead)(\b\w+)_j
no	either X or Y	alive	dead	either_. (?!dead)(\b\w+)_j or_. (\balive)_j
no	either X or Y	alive	dead	either_. (\bdead)_j or_. (?!alive)(\b\w+)_j
yes	either X or Y	private	public	either_. (private)_j or_. (public)_j
yes	either X or Y	private	public	either_. (public)_j or_. (private)_j
no	either X or Y	private	public	either_. (?!private)(\b\w+)_j or_. (\bpublic)_j
no	either X or Y	private	public	either_. (\bprivate)_j or_. (?!public)(\b\w+)_j
no	either X or Y	private	public	either_. (?!public)(\b\w+)_j or_. (\bprivate)_j
no	either X or Y	private	public	either_. (\bpublic)_j or_. (?!private)(\b\w+)_j
yes	either X or Y	bad	good	either_. (bad)_j or_. (good)_j
yes	either X or Y	bad	good	either_. (good)_j or_. (bad)_j
no	either X or Y	bad	good	either_. (?!bad)(\b\w+)_j or_. (\bgood)_j
no	either X or Y	bad	good	either_. (\bbad)_j or_. (?!good)(\b\w+)_j
no	either X or Y	bad	good	either_. (?!good)(\b\w+)_j or_. (\bbad)_j
no	either X or Y	bad	good	either_. (\bgood)_j or_. (?!bad)(\b\w+)_j
yes	either X or Y	heavy	light	either_. (heavy)_j or_. (light)_j
yes	either X or Y	heavy	light	either_. (light)_j or_. (heavy)_j
no	either X or Y	heavy	light	either_. (?!heavy)(\b\w+)_j or_. (\blight)_j
no	either X or Y	heavy	light	either_. (\bheavy)_j or_. (?!light)(\b\w+)_j
no	either X or Y	heavy	light	either_. (?!light)(\b\w+)_j or_. (\bheavy)_j
no	either X or Y	heavy	light	either_. (\blight)_j or_. (?!heavy)(\b\w+)_j
yes	either X or Y	drunk	sober	either_. (drunk)_j or_. (sober)_j
yes	either X or Y	drunk	sober	either_. (sober)_j or_. (drunk)_j
no	either X or Y	drunk	sober	either_. (?!drunk)(\b\w+)_j or_. (\bsober)_j
no	either X or Y	drunk	sober	either_. (\bdrunk)_j or_. (?!sober)(\b\w+)_j
no	either X or Y	drunk	sober	either_. (?!sober)(\b\w+)_j or_. (\bdrunk)_j
no	either X or Y	drunk	sober	either_. (\bsober)_j or_. (?!drunk)(\b\w+)_j
yes	either X or Y	hard	soft	either_. (hard)_j or_. (soft)_j
yes	either X or Y	hard	soft	either_. (soft)_j or_. (hard)_j
no	either X or Y	hard	soft	either_. (?!hard)(\b\w+)_j or_. (\bsoft)_j
no	either X or Y	hard	soft	either_. (\bhard)_j or_. (?!soft)(\b\w+)_j
no	either X or Y	hard	soft	either_. (?!soft)(\b\w+)_j or_. (\bhard)_j
no	either X or Y	hard	soft	either_. (\bsoft)_j or_. (?!hard)(\b\w+)_j
yes	either X or Y	false	true	either_. (false)_j or_. (true)_j
yes	either X or Y	false	true	either_. (true)_j or_. (false)_j
no	either X or Y	false	true	either_. (?!false)(\b\w+)_j or_. (\btrue)_j
no	either X or Y	false	true	either_. (\bfalse)_j or_. (?!true)(\b\w+)_j
no	either X or Y	false	true	either_. (?!true)(\b\w+)_j or_. (\bfalse)_j
no	either X or Y	false	true	either_. (\btrue)_j or_. (?!false)(\b\w+)_j
yes	either X or Y	happy	sad	either_. (happy)_j or_. (sad)_j
yes	either X or Y	happy	sad	either_. (sad)_j or_. (happy)_j
no	either X or Y	happy	sad	either_. (?!happy)(\b\w+)_j or_. (\bsad)_j
no	either X or Y	happy	sad	either_. (\bhappy)_j or_. (?!sad)(\b\w+)_j
no	either X or Y	happy	sad	either_. (?!sad)(\b\w+)_j or_. (\bhappy)_j
no	either X or Y	happy	sad	either_. (\bsad)_j or_. (?!happy)(\b\w+)_j
yes	either X or Y	dry	wet	either_. (dry)_j or_. (wet)_j
yes	either X or Y	dry	wet	either_. (wet)_j or_. (dry)_j
no	either X or Y	dry	wet	either_. (?!dry)(\b\w+)_j or_. (\bwet)_j
no	either X or Y	dry	wet	either_. (\bdry)_j or_. (?!wet)(\b\w+)_j
no	either X or Y	dry	wet	either_. (?!wet)(\b\w+)_j or_. (\bdry)_j
no	either X or Y	dry	wet	either_. (\bwet)_j or_. (?!dry)(\b\w+)_j
yes	either X or Y	right	wrong	either_. (right)_j or_. (wrong)_j
yes	either X or Y	right	wrong	either_. (wrong)_j or_. (right)_j
no	either X or Y	right	wrong	either_. (?!right)(\b\w+)_j or_. (\bwrong)_j
no	either X or Y	right	wrong	either_. (\bright)_j or_. (?!wrong)(\b\w+)_j
no	either X or Y	right	wrong	either_. (?!wrong)(\b\w+)_j or_. (\bright)_j
no	either X or Y	right	wrong	either_. (\bwrong)_j or_. (?!right)(\b\w+)_j
yes	either X or Y	female	male	either_. (female)_j or_. (male)_j
yes	either X or Y	female	male	either_. (male)_j or_. (female)_j
no	either X or Y	female	male	either_. (?!female)(\b\w+)_j or_. (\bmale)_j
no	either X or Y	female	male	either_. (\bfemale)_j or_. (?!male)(\b\w+)_j
no	either X or Y	female	male	either_. (?!male)(\b\w+)_j or_. (\bfemale)_j
no	either X or Y	female	male	either_. (\bmale)_j or_. (?!female)(\b\w+)_j
yes	either X or Y	high	low	either_. (high)_j or_. (low)_j
yes	either X or Y	high	low	either_. (low)_j or_. (high)_j
no	either X or Y	high	low	either_. (?!high)(\b\w+)_j or_. (\blow)_j
no	either X or Y	high	low	either_. (\bhigh)_j or_. (?!low)(\b\w+)_j
no	either X or Y	high	low	either_. (?!low)(\b\w+)_j or_. (\bhigh)_j
no	either X or Y	high	low	either_. (\blow)_j or_. (?!high)(\b\w+)_j
yes	either X or Y	rural	urban	either_. (rural)_j or_. (urban)_j
yes	either X or Y	rural	urban	either_. (urban)_j or_. (rural)_j
no	either X or Y	rural	urban	either_. (?!rural)(\b\w+)_j or_. (\burban)_j
no	either X or Y	rural	urban	either_. (\brural)_j or_. (?!urban)(\b\w+)_j
no	either X or Y	rural	urban	either_. (?!urban)(\b\w+)_j or_. (\brural)_j
no	either X or Y	rural	urban	either_. (\burban)_j or_. (?!rural)(\b\w+)_j
yes	either X or Y	cold	hot	either_. (cold)_j or_. (hot)_j
yes	either X or Y	cold	hot	either_. (hot)_j or_. (cold)_j
no	either X or Y	cold	hot	either_. (?!cold)(\b\w+)_j or_. (\bhot)_j
no	either X or Y	cold	hot	either_. (\bcold)_j or_. (?!hot)(\b\w+)_j
no	either X or Y	cold	hot	either_. (?!hot)(\b\w+)_j or_. (\bcold)_j
no	either X or Y	cold	hot	either_. (\bhot)_j or_. (?!cold)(\b\w+)_j
yes	either X or Y	poor	rich	either_. (poor)_j or_. (rich)_j
yes	either X or Y	poor	rich	either_. (rich)_j or_. (poor)_j
no	either X or Y	poor	rich	either_. (?!poor)(\b\w+)_j or_. (\brich)_j
no	either X or Y	poor	rich	either_. (\bpoor)_j or_. (?!rich)(\b\w+)_j
no	either X or Y	poor	rich	either_. (?!rich)(\b\w+)_j or_. (\bpoor)_j
no	either X or Y	poor	rich	either_. (\brich)_j or_. (?!poor)(\b\w+)_j
yes	either X or Y	difficult	easy	either_. (difficult)_j or_. (easy)_j
yes	either X or Y	difficult	easy	either_. (easy)_j or_. (difficult)_j
no	either X or Y	difficult	easy	either_. (?!difficult)(\b\w+)_j or_. (\beasy)_j
no	either X or Y	difficult	easy	either_. (\bdifficult)_j or_. (?!easy)(\b\w+)_j
no	either X or Y	difficult	easy	either_. (?!easy)(\b\w+)_j or_. (\bdifficult)_j
no	either X or Y	difficult	easy	either_. (\beasy)_j or_. (?!difficult)(\b\w+)_j
yes	either X or Y	optimistic	pessimistic	either_. (optimistic)_j or_. (pessimistic)_j
yes	either X or Y	optimistic	pessimistic	either_. (pessimistic)_j or_. (optimistic)_j
no	either X or Y	optimistic	pessimistic	either_. (?!optimistic)(\b\w+)_j or_. (\bpessimistic)_j
no	either X or Y	optimistic	pessimistic	either_. (\boptimistic)_j or_. (?!pessimistic)(\b\w+)_j
no	either X or Y	optimistic	pessimistic	either_. (?!pessimistic)(\b\w+)_j or_. (\boptimistic)_j
no	either X or Y	optimistic	pessimistic	either_. (\bpessimistic)_j or_. (?!optimistic)(\b\w+)_j
yes	either X or Y	permanent	temporary	either_. (permanent)_j or_. (temporary)_j
yes	either X or Y	permanent	temporary	either_. (temporary)_j or_. (permanent)_j
no	either X or Y	permanent	temporary	either_. (?!permanent)(\b\w+)_j or_. (\btemporary)_j
no	either X or Y	permanent	temporary	either_. (\bpermanent)_j or_. (?!temporary)(\b\w+)_j
no	either X or Y	permanent	temporary	either_. (?!temporary)(\b\w+)_j or_. (\bpermanent)_j
no	either X or Y	permanent	temporary	either_. (\btemporary)_j or_. (?!permanent)(\b\w+)_j
yes	either X or Y	feminine	masculine	either_. (feminine)_j or_. (masculine)_j
yes	either X or Y	feminine	masculine	either_. (masculine)_j or_. (feminine)_j
no	either X or Y	feminine	masculine	either_. (?!feminine)(\b\w+)_j or_. (\bmasculine)_j
no	either X or Y	feminine	masculine	either_. (\bfeminine)_j or_. (?!masculine)(\b\w+)_j
no	either X or Y	feminine	masculine	either_. (?!masculine)(\b\w+)_j or_. (\bfeminine)_j
no	either X or Y	feminine	masculine	either_. (\bmasculine)_j or_. (?!feminine)(\b\w+)_j
yes	either X or Y	long	short	either_. (long)_j or_. (short)_j
yes	either X or Y	long	short	either_. (short)_j or_. (long)_j
no	either X or Y	long	short	either_. (?!long)(\b\w+)_j or_. (\bshort)_j
no	either X or Y	long	short	either_. (\blong)_j or_. (?!short)(\b\w+)_j
no	either X or Y	long	short	either_. (?!short)(\b\w+)_j or_. (\blong)_j
no	either X or Y	long	short	either_. (\bshort)_j or_. (?!long)(\b\w+)_j
yes	either X or Y	large	small	either_. (large)_j or_. (small)_j
yes	either X or Y	large	small	either_. (small)_j or_. (large)_j
no	either X or Y	large	small	either_. (?!large)(\b\w+)_j or_. (\bsmall)_j
no	either X or Y	large	small	either_. (\blarge)_j or_. (?!small)(\b\w+)_j
no	either X or Y	large	small	either_. (?!small)(\b\w+)_j or_. (\blarge)_j
no	either X or Y	large	small	either_. (\bsmall)_j or_. (?!large)(\b\w+)_j
yes	either X or Y	new	old	either_. (new)_j or_. (old)_j
yes	either X or Y	new	old	either_. (old)_j or_. (new)_j
